,001-139.99,140-239.99,240-279.99,280-289.99,290-319.99,320-389.99,390-459.99,460-519.99,520-579.99,580-629.99,680-709.99,780-799.99,800-999.99,E878-E879.9,E930-E949.9,V07-V09.99,V10-V19.99,V40-V49.99,V50-V59.99,V87-V87.99,A01,A02,A03,A04,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B05,C01,C02,C03,C05,C07,C08,C09,C10,D01,D04,D05,D07,D08,D09,D11,G01,G02,G03,G04,H01,H02,H03,H04,J01,J05,J07,L02,L04,M02,M03,N01,N02,N03,N04,N05,N06,P01,R02,R03,R05,R06,R07,S01,S03,V03,V04,V06,p00-00.99,p01-05.99,p30-34.99,p35-39.99,p42-54.99,p55-59.99,p87-99.99
001-139.99,0.0034602076124567475,0.00013308490817141337,0.03806228373702422,0.007319669949427735,0.006920415224913495,0.012110726643598616,0.027548575991482565,0.009449028480170348,0.006388075592227841,0.020361990950226245,0.020095821133883418,0.010114453021027415,0.011179132286398722,0.0,0.0,0.0003992547245142401,0.007053500133084908,0.015171679531541124,0.007053500133084908,0.0,0.010779877561884482,0.02062816076656907,0.01463933989885547,0.0018631887143997872,0.04365184988022358,0.021293585307426137,0.006121905775885015,0.007319669949427735,0.021160500399254725,0.011578387010912962,0.03593292520628161,0.025019962736225712,0.00026616981634282674,0.028214000532339634,0.03526750066542454,0.02528613255256854,0.018365717327655046,0.04059089699228108,0.027947830715996807,0.004391801969656641,0.00013308490817141337,0.002661698163428267,0.00904977375565611,0.008384349214799042,0.001463933989885547,0.006121905775885015,0.01224381155177003,0.006121905775885015,0.006121905775885015,0.006121905775885015,0.007985094490284802,0.0,0.006121905775885015,0.011179132286398722,0.0009315943571998936,0.0007985094490284802,0.011977641735427202,0.008916688847484696,0.04910833111525153,0.0,0.0031940377961139207,0.0,0.0,0.0,0.011844556827255789,0.010380622837370242,0.044317274421080646,0.011844556827255789,0.0003992547245142401,0.010513707745541655,0.014905509715198297,0.0007985094490284802,0.004657971785999467,0.023955283470854405,0.001463933989885547,0.01224381155177003,0.006121905775885015,0.007186585041256322,0.006787330316742082,0.01224381155177003,0.010646792653713068,0.011046047378227309,0.0007985094490284802,0.0,0.00013308490817141337,0.014905509715198297,0.004258717061485228,0.001463933989885547,0.015304764439712537
140-239.99,0.0031545741324921135,0.03785488958990536,0.03785488958990536,0.015772870662460567,0.006309148264984227,0.0031545741324921135,0.05993690851735016,0.015772870662460567,0.04100946372239748,0.01892744479495268,0.0,0.0,0.0,0.0,0.0,0.0031545741324921135,0.015772870662460567,0.01892744479495268,0.012618296529968454,0.0,0.006309148264984227,0.022082018927444796,0.006309148264984227,0.012618296529968454,0.06624605678233439,0.012618296529968454,0.0031545741324921135,0.0031545741324921135,0.0,0.006309148264984227,0.04100946372239748,0.00946372239747634,0.0,0.012618296529968454,0.04416403785488959,0.00946372239747634,0.00946372239747634,0.01892744479495268,0.028391167192429023,0.0031545741324921135,0.0,0.006309148264984227,0.006309148264984227,0.006309148264984227,0.0,0.0031545741324921135,0.006309148264984227,0.0031545741324921135,0.0031545741324921135,0.0031545741324921135,0.0031545741324921135,0.0,0.0031545741324921135,0.00946372239747634,0.0,0.012618296529968454,0.0031545741324921135,0.0,0.050473186119873815,0.0,0.0,0.0,0.025236593059936908,0.0,0.0,0.022082018927444796,0.05362776025236593,0.0,0.0031545741324921135,0.03470031545741325,0.0,0.0,0.0031545741324921135,0.00946372239747634,0.006309148264984227,0.00946372239747634,0.0031545741324921135,0.006309148264984227,0.0031545741324921135,0.006309148264984227,0.022082018927444796,0.0031545741324921135,0.0,0.0,0.0,0.015772870662460567,0.012618296529968454,0.0,0.03470031545741325
240-279.99,0.011183670277245532,0.0004692449067375748,0.03441129316075548,0.00731239979666054,0.010323387948226645,0.016306260509130723,0.03550619794314316,0.010831736597192351,0.00922848316583897,0.01876979626950299,0.019903804794118796,0.008524615805732608,0.00918937942361084,0.001173112266843937,0.0,0.0001173112266843937,0.01047980291713917,0.018144136393852893,0.011300981503929925,0.0,0.010362491690454776,0.017987721424940366,0.013725413522074063,0.001173112266843937,0.0421929378641536,0.022367340554491064,0.006217495014272866,0.00762522973448559,0.01998201227857506,0.011261877761701795,0.032573417276033315,0.020842294607593948,3.910374222813123e-05,0.029406014155554685,0.033551010831736595,0.024674461345950808,0.0186524850428186,0.04039416572165956,0.026590544715129238,0.001681460915809643,0.0001173112266843937,0.001368630977984593,0.00762522973448559,0.008524615805732608,0.0005474523911938372,0.006217495014272866,0.012434990028545732,0.006217495014272866,0.006217495014272866,0.006217495014272866,0.008446408321276347,0.0,0.006452117467641653,0.009580416845892151,0.0003910374222813123,0.0002346224533687874,0.011809330152895632,0.010206076721542251,0.04629883079810738,0.0,0.0024635357603722675,0.0001173112266843937,0.00015641496891252493,0.001173112266843937,0.011535603957298713,0.01173112266843937,0.04649434950924804,0.011535603957298713,0.0001173112266843937,0.00981503929926094,0.013412583584249013,0.0002346224533687874,0.004027685449497517,0.02662964845735737,0.000508348648965706,0.012474093770773863,0.006217495014272866,0.0069213623743792285,0.0063348062409572595,0.012434990028545732,0.009072068196926446,0.010831736597192351,0.001681460915809643,0.0,0.0007429711023344935,0.01173112266843937,0.0024635357603722675,0.00043014116450944354,0.015328666953427442
280-289.99,0.013275404296403573,0.0012068549360366883,0.045136374607772145,0.0,0.007965242577842143,0.012068549360366883,0.02775766352884383,0.013275404296403573,0.012068549360366883,0.019068307989379675,0.022688872797489743,0.008689355539464157,0.009654839488293506,0.0,0.0,0.0004827419744146754,0.01037895244991552,0.015447743181269612,0.0065170166545981175,0.0,0.012792662321988897,0.022688872797489743,0.013999517258025585,0.0033791938209027277,0.052618875211199616,0.01955104996379435,0.005551532705768767,0.005551532705768767,0.015930485155684286,0.011827178373159546,0.03813661597875935,0.02510258266956312,0.0002413709872073377,0.026550808592807146,0.0333091962346126,0.022206130823075067,0.0166545981173063,0.037895244991552016,0.025826695631185132,0.002172338884866039,0.0,0.003620564808110065,0.008930726526671495,0.009172097513878832,0.0002413709872073377,0.005551532705768767,0.011103065411537534,0.005551532705768767,0.005551532705768767,0.005551532705768767,0.008930726526671495,0.0,0.005551532705768767,0.010861694424330196,0.0002413709872073377,0.0004827419744146754,0.011827178373159546,0.008689355539464157,0.04368814868452812,0.0,0.00313782283369539,0.0,0.0004827419744146754,0.0,0.011585807385952208,0.011344436398744872,0.04223992276128409,0.011585807385952208,0.0004827419744146754,0.012068549360366883,0.012792662321988897,0.0,0.00724112961622013,0.02293024378469708,0.0004827419744146754,0.011344436398744872,0.005551532705768767,0.006034274680183442,0.0065170166545981175,0.011103065411537534,0.013275404296403573,0.00941346850108617,0.001448225923244026,0.0,0.0009654839488293508,0.012792662321988897,0.004586048756939416,0.0,0.017378711078928313
290-319.99,0.01045016077170418,0.00040192926045016077,0.05305466237942122,0.006631832797427652,0.0028135048231511255,0.02110128617363344,0.04702572347266881,0.01004823151125402,0.009244372990353697,0.0204983922829582,0.021704180064308683,0.01045016077170418,0.01004823151125402,0.0020096463022508037,0.0,0.0008038585209003215,0.01547427652733119,0.024718649517684887,0.01567524115755627,0.0,0.008440514469453377,0.01587620578778135,0.011454983922829582,0.00020096463022508038,0.03677652733118971,0.02069935691318328,0.005627009646302251,0.007435691318327975,0.022909967845659164,0.011053054662379422,0.029340836012861738,0.019493569131832797,0.0,0.027934083601286172,0.03195337620578778,0.022508038585209004,0.016881028938906754,0.03597266881028939,0.023110932475884246,0.0008038585209003215,0.0,0.0008038585209003215,0.006430868167202572,0.009043408360128617,0.00020096463022508038,0.005627009646302251,0.011254019292604502,0.005627009646302251,0.005627009646302251,0.005627009646302251,0.008440514469453377,0.0,0.006028938906752411,0.008239549839228295,0.00020096463022508038,0.0,0.011856913183279742,0.011655948553054662,0.04622186495176849,0.0,0.002612540192926045,0.00020096463022508038,0.0,0.0020096463022508037,0.011655948553054662,0.01065112540192926,0.04863344051446945,0.011655948553054662,0.0008038585209003215,0.006631832797427652,0.012861736334405145,0.0,0.002612540192926045,0.028536977491961414,0.0,0.011254019292604502,0.005627009646302251,0.006430868167202572,0.006430868167202572,0.011254019292604502,0.008440514469453377,0.012459807073954984,0.002411575562700965,0.0,0.0,0.01045016077170418,0.00020096463022508038,0.0,0.012660771704180064
320-389.99,0.010153983485829056,0.0001115822361080116,0.046529792457040836,0.00557911180540058,0.011716134791341218,0.008257085471992859,0.041508591832180315,0.010935059138585137,0.007922338763668824,0.016737335416201742,0.01818790448560589,0.0073644275831287655,0.008145503235884846,0.0022316447221602323,0.0,0.0003347467083240348,0.012274045971881276,0.021758536041062263,0.01383619727739344,0.0,0.00903816112474894,0.015063601874581566,0.013501450569069404,0.0001115822361080116,0.0374916313322919,0.024101762999330506,0.006583351930372685,0.008591832180316894,0.019973220263334077,0.010377147958045079,0.030461950457487168,0.019192144610577996,0.0001115822361080116,0.030461950457487168,0.03380941754072752,0.024101762999330506,0.019750055791118055,0.04173175630439634,0.02722606561035483,0.0015621513055121626,0.0001115822361080116,0.0006694934166480696,0.0073644275831287655,0.008591832180316894,0.0006694934166480696,0.006583351930372685,0.01316670386074537,0.006583351930372685,0.006583351930372685,0.006583351930372685,0.008257085471992859,0.0,0.006583351930372685,0.008814996652532917,0.0003347467083240348,0.0002231644722160232,0.01115822361080116,0.010488730194153091,0.0451908056237447,0.0,0.001450569069404151,0.0,0.0,0.0022316447221602323,0.01104664137469315,0.012385628207989288,0.04820352599866101,0.01104664137469315,0.0003347467083240348,0.009149743360856952,0.012050881499665253,0.0003347467083240348,0.002454809194376255,0.027560812318678865,0.0,0.01316670386074537,0.006583351930372685,0.007476009819236778,0.007141263110912743,0.01316670386074537,0.007810756527560812,0.011492970319125195,0.0021200624860522204,0.0,0.0005579111805400581,0.010935059138585137,0.0015621513055121626,0.0,0.014952019638473556
390-459.99,0.010047568197262402,0.0009222405591690127,0.044073390932919135,0.005581982331812446,0.011358120570818368,0.0180564993689933,0.030385399475779052,0.011261042617221629,0.008931171730899913,0.018493350160178623,0.016891563925832444,0.007863314241335793,0.008834093777303174,0.0024269488399184546,0.0,0.0006795456751771673,0.010387341034850985,0.01936705174254927,0.013687991457140083,0.0,0.008882632754101543,0.015775167459469955,0.013251140665954762,0.0009222405591690127,0.03824871371711484,0.023153091932822056,0.006261528006989613,0.0080089311717309,0.019027278904960684,0.009999029220464032,0.031356179011746435,0.019900980487331327,0.00019415590719347637,0.028977769148626348,0.03451121250364042,0.02397825453839433,0.018784584020968838,0.04091835744102514,0.02674497621590137,0.0020386370255315017,0.00019415590719347637,0.0016988641879429182,0.007863314241335793,0.00849432093971459,0.0004853897679836909,0.006261528006989613,0.012523056013979225,0.006261528006989613,0.006261528006989613,0.006261528006989613,0.007766236287739054,0.0,0.006261528006989613,0.00849432093971459,0.0004853897679836909,0.0004368507911853218,0.011358120570818368,0.010193185127657508,0.047616736239200076,0.0,0.0017959421415396563,0.0,0.00029123386079021456,0.0024269488399184546,0.011115425686826521,0.012328900106785749,0.04751965828560334,0.011115425686826521,0.0006795456751771673,0.010241724104455879,0.012717211921172701,0.00014561693039510728,0.002621104747111931,0.026842054169498107,0.0006310066983787982,0.012571594990777594,0.006261528006989613,0.007911853218134162,0.007232307542956995,0.012523056013979225,0.007766236287739054,0.011503737501213475,0.001553247257547811,0.0,0.0005824677215804291,0.011843510338802057,0.0022813319095233474,0.00053392874478206,0.017862343461799827
460-519.99,0.010633518047027108,0.0007488392990864161,0.04148569716938745,0.008237232289950576,0.007488392990864161,0.014677250262093754,0.0347461434776097,0.008087464430133293,0.01123258948629624,0.014677250262093754,0.018571214617343117,0.002246517897259248,0.00793769657031601,0.0014976785981728321,0.0,0.00044930357945184964,0.009435375168488842,0.01587539314063202,0.008237232289950576,0.0,0.011532125205930808,0.015575857420997454,0.01587539314063202,0.0038939643552493635,0.04493035794518496,0.02246517897259248,0.006140482252508611,0.007488392990864161,0.01258050022465179,0.007787928710498727,0.03699266137486895,0.026059607608207278,0.0002995357196345664,0.026209375468024564,0.03699266137486895,0.021117268234236933,0.018421446757525835,0.042833607907743,0.029354500524187508,0.002246517897259248,0.0002995357196345664,0.004942339373970346,0.010483750187209824,0.007039089411412311,0.00044930357945184964,0.006140482252508611,0.012280964505017223,0.006140482252508611,0.006140482252508611,0.006140482252508611,0.006440017972143178,0.0,0.006140482252508611,0.007787928710498727,0.0007488392990864161,0.00044930357945184964,0.011532125205930808,0.007039089411412311,0.04882432230043433,0.0,0.0,0.0,0.0,0.0014976785981728321,0.010933053766661675,0.012280964505017223,0.04253407218810843,0.010933053766661675,0.00044930357945184964,0.015126553841545605,0.01123258948629624,0.0,0.005391642953422196,0.021117268234236933,0.0005990714392691329,0.01258050022465179,0.006140482252508611,0.008087464430133293,0.006440017972143178,0.012280964505017223,0.011532125205930808,0.008237232289950576,0.0019469821776246818,0.0,0.0014976785981728321,0.01258050022465179,0.006589785831960461,0.0,0.025909839748389996
520-579.99,0.00835509138381201,0.0022628372497824193,0.04107919930374238,0.008703220191470844,0.008006962576153177,0.012358572671888599,0.03202785030461271,0.013054830287206266,0.006614447345517842,0.01723237597911227,0.014447345517841602,0.008006962576153177,0.007658833768494343,0.0017406440382941688,0.0,0.00017406440382941688,0.007310704960835509,0.010617928633594429,0.008877284595300261,0.0,0.01288076588337685,0.019669277632724108,0.014969538729329853,0.004351610095735422,0.04960835509138381,0.022106179286335945,0.006092254134029591,0.006092254134029591,0.009921671018276762,0.01009573542210618,0.035509138381201046,0.02053959965187119,0.0010443864229765013,0.027676240208877285,0.03655352480417755,0.02610966057441253,0.018276762402088774,0.0412532637075718,0.028546562228024368,0.0012184508268059183,0.00017406440382941688,0.00278503046127067,0.008529155787641428,0.009225413402959095,0.00034812880765883376,0.006092254134029591,0.012184508268059183,0.006092254134029591,0.006092254134029591,0.006092254134029591,0.008877284595300261,0.0,0.007484769364664926,0.00835509138381201,0.0017406440382941688,0.001392515230635335,0.010617928633594429,0.007310704960835509,0.043690165361183635,0.0,0.0022628372497824193,0.0006962576153176675,0.0010443864229765013,0.0017406440382941688,0.009747606614447346,0.015665796344647518,0.04264577893820714,0.009747606614447346,0.00017406440382941688,0.016536118363794605,0.011488250652741514,0.0,0.006092254134029591,0.021061792863359442,0.0,0.012184508268059183,0.006092254134029591,0.007136640557006092,0.006266318537859008,0.012184508268059183,0.011314186248912098,0.008529155787641428,0.001566579634464752,0.0,0.001566579634464752,0.013054830287206266,0.008181026979982594,0.0,0.024891209747606613
580-629.99,0.011932615816565278,0.0004679457182966776,0.03743565746373421,0.006161285290906255,0.007955077211043519,0.01169864295741694,0.029714553111839025,0.007643113398845734,0.00772110435189518,0.010606769614724692,0.01606613632818593,0.010528778661675245,0.010372796755576353,0.0007799095304944627,0.0,0.0002339728591483388,0.007253158633598503,0.012712525347059741,0.008579004835439089,0.0,0.010294805802526907,0.01980970207455935,0.01419435345499922,0.0013258462018405864,0.042271096552799876,0.022461394478240523,0.0064732491031040396,0.007175167680549056,0.020121665886757137,0.011386679145219155,0.0345499922009047,0.02152550304164717,0.0002339728591483388,0.029558571205740135,0.03423802838870691,0.027608797379503978,0.01941974730931212,0.04219310559975043,0.02776477928560287,0.003743565746373421,0.00015598190609889253,0.0015598190609889253,0.008033068164092966,0.00896895960068632,0.0005459366713461239,0.0064732491031040396,0.012946498206208079,0.0064732491031040396,0.0064732491031040396,0.0064732491031040396,0.008734986741537982,0.0,0.006629231009202933,0.011776633910466386,0.0005459366713461239,0.00038995476524723133,0.01169864295741694,0.010060832943378568,0.04929028232725004,0.0,0.004601466229917329,7.799095304944626e-05,0.00015598190609889253,0.0007799095304944627,0.011386679145219155,0.011230697239120261,0.04663858992356887,0.011386679145219155,0.0002339728591483388,0.010138823896428015,0.015208235844642022,0.0002339728591483388,0.003743565746373421,0.02675089689596007,0.002729683356730619,0.013024489159257526,0.0064732491031040396,0.007487131492746842,0.006941194821400718,0.012946498206208079,0.009748869131180784,0.010996724379971923,0.0010138823896428013,0.0,0.0004679457182966776,0.014038371548900327,0.0024957104975822804,0.0025737014506317267,0.015052253938543128
